;Relação dos municípios com as maiores proporções de população  autodeclarada indígena do País, por situação do domicílio - Unidades da Federação - 2010 ;;;;;;;;;;
;Código;Município;Total;;Código;Município;Urbana;;Código;Município;Rural
Rondônia;;;;;;;;;;;
5;5107578;Rondolândia;23,3;;5102702;Canarana;1,8;;5103858;Gaúcha do Norte;48,3
6;5100359;Alto Boa Vista;14,6;;5108857;Nova Marilândia;1,5;;5100359;Alto Boa Vista;37,1
7;5107792;Santo Antônio do Leste;14,3;;5106257;Nova Xavantina;1,0;;5103700;Feliz Natal;34,8
8;5107776;Santa Terezinha;14,0;;5103361;Conquista D'Oeste;0,9;;5107792;Santo Antônio do Leste;32,3
9;5105309;Luciara;11,3;;5101407;Aripuanã;0,9;;5107578;Rondolândia;31,5
10;5107065;Querência;10,4;;5106455;Planalto da Serra;0,8;;5102702;Canarana;27,3
;;;;;;;;;;;
Goiás;;;;;;;;;;;
1;5214705;Nova América;3,8;;5202502;Aruanã;2,5;;5214705;Nova América;13,1
2;5202502;Aruanã;2,8;;5200605;Alto Paraíso de Goiás;1,0;;5202502;Aruanã;3,9
3;5200605;Alto Paraíso de Goiás;0,8;;5205307;Cavalcante;1,0;;5218904;Rubiataba;2,6
4;5208905;Goiás;0,7;;5208905;Goiás;0,9;;5205406;Ceres;1,0
5;5202809;Avelinópolis;0,7;;5202809;Avelinópolis;0,9;;5212956;Matrinchã;0,8
6;5218904;Rubiataba;0,6;;5212006;Jaupaci;0,6;;5215405;Ouro Verde de Goiás;0,4
7;5212956;Matrinchã;0,5;;5208509;Goiandira;0,6;;5205901;Corumbaíba;0,3
8;5205307;Cavalcante;0,5;;5219001;Sanclerlândia;0,5;;5213400;Moiporá;0,3
9;5212006;Jaupaci;0,5;;5212600;Mairipotaba;0,5;;5205521;Colinas do Sul;0,3
10;5208509;Goiandira;0,5;;5203807;Britânia;0,5;;5208905;Goiás;0,3
;;;;;;;;;;;
Distrito Federal;;;;;;;;;;;
1;5300108;Brasília;0,2;;5300108;Brasília;0,2;;5300108;Brasília;0,2
;;;;;;;;;;;
;Fonte: IBGE, Censo Demográfico 2010.;;;;;;;;;;
